"product_id","date_id","quantity","sale_peso","cost_peso"
"NALQUILER","20071119",1,1340,1
"NMAKCAMISINTLADY","20071119",0,60,31.2
"NMAKKHUMBU","20071119",0,240,132
"NLIBOCLIMB","20071119",0,129,73
"BMED1piel","20071119",0,1,4.6
"NMAKCAMISINT","20071119",0,62,34
"BMEDABRIGO","20071119",0,26,6.77
"NALIVCUBREREF","20071119",1,80,23
"BCAMPBAST","20071119",1,130,72
"NMAKNEPAL","20071119",0,1285,668
"NNALGACAN","20071119",1,135,79
"NMAKPAMIR70","20071119",1,520,292
"NMAKCAMISINT","20071120",0,62,34
"BMEDABRIGO","20071120",0,26,6.77
"NMAKTERMPANT","20071120",0,62,34.4
"BMED1piel","20071120",0,20,4.6
"NNMAKPOL","20071120",0,77,43.2
"NMAKEXPEDJKT","20071120",0,560,312
"NMAKTERMPANT","20071120",0,62,34.4
"NALIVBOLSILLO","20071120",1,25,11
"NMSRBOTGRIS","20071120",1,32,18.6
"NEURBOLS","20071120",1,10,5
"BJULBOSHERPA","20071122",1,155,78
"NFRONTANDES","20071122",1,370,215
"NMAKACONC","20071122",0,575,319
"BDOITECART","20071122",1,15,10
"BMEDZOQ","20071123",0,10,3
"BFUGATEARNES","20071123",2,180,117.37
"BCAMPHMS","20071123",1,60,40.65
"BUNDERANTEO","20071123",1,160,94
"NALIVPANTPOLAR","20071123",0,65,24
"NLIBOCLIMB","20071123",0,129,73
"NALQUILER","20071123",1,80,1
"NMSRBOTGRIS","20071123",2,32,18.6
"BCAMPGUAN","20071124",0,1,11.5
"BMED1piel","20071124",0,20,4.6
"BCAMPSTALK","20071124",2,455,330
"NMAKEXPEDJKT","20071124",0,560,312
"BMAKGORRO","20070314",0,13,8.7
"BMAKCAMISINT","20070314",0,50,33
"NALIVERBOLPO","20070324",10,42,42
"NALIVCUBRELIV","20070328",50,20,13.5
"BMEDZOQ","20070430",1,10,3
"BMEDZOQ","20070503",1,9,3
"BMEDZOQ","20070503",2,9,3
"NALIVERBOLPO","20070507",10,42,42
"BMEDZOQ","20070510",2,9,3
"BMEDZOQ","20070512",2,10,3
"BRECTADP6","20070531",1,140,125.3
"BMEDZOQ","20070609",2,10,3
"BBRMARM","20070611",1,75,36
"BBRGL10","20070613",1,85,53.41
"BMEDZOQ","20070616",1,9,3
"BMEDZOQ","20070620",1,10,3
"BFIG8","20070628",2,65,45.34
"BFADERSHMS","20070628",4,60,40
"BFADERSPETIT","20070628",5,50,35
"BMED1piel","20070707",0,18,4.6
"BMED1piel","20070707",0,18,4.6
"BMEDABRIGO","20070707",0,26,6.77
"BMEDABRIGO","20070710",0,26,6.77
"BMED1piel","20070710",0,18,4.6
"BANTEOJOS","20070710",1,45,25
"BMEDABRIGO","20070710",0,26,6.77
"BMED1piel","20070710",0,18,4.6
"BMEDABRIGO","20070711",0,20,6.77
"BMED1piel","20070711",0,13,4.6
"BMEDABRIGO","20070712",0,26,6.77
"BCRUX","20070712",1,620,417
"BMEDABRIGO","20070712",0,26,6.77
"BGUILLUMET","20070712",1,285,197.65
"NALIVCUBREREF","20070713",1,65,23
"NORIX","20070713",1,180,105
"NTEKMAGN","20070713",1,30,17
"NORIX","20070713",1,180,105
"BMAKCAMISINTLADY","20070714",0,55,37.75
"BMED1piel","20070714",0,18,4.6
"BMEDABRIGO","20070714",0,26,6.77
"BMED1piel","20071127",0,20,4.6
"NALIVPANTPOLAR","20071127",0,75,24
"BMEDABRIGO","20071127",0,1,6.77
"NOUTGUANTW","20071127",0,85,49
"NMAKKHUMBU","20071127",0,240,132
"NMAKTRANGO","20071127",0,110,60
"NALIVPOLAINA","20071127",1,120,42
"NALIVERBOLPO","20071128",1,75,42
"NMAKPANTDRY","20071128",0,390,216
"BCAMPGUAN","20071128",0,20,11.5
"NLIBOKOALA","20071128",0,195,113
"NMAKCHAL","20071128",0,110,60
"BMED1piel","20071128",0,20,4.6
"NMAKPANTDESLADY","20071128",0,160,88
"BLUBRILINEA","20071128",1,25,18.3
"NMAKPANTDESMH","20071128",0,150,108
"BCAMPBAST","20071128",1,120,72
"BCAMPNEVE","20071128",1,289,199
"BCAMPNEVE","20071128",1,289,199
"NMAKBOREAL60","20071129",1,450,236
"BAMBOO21","20071129",1,55,36.3
"BMAKEXPEDJKT","20071129",0,560,377
"NMSRBOTGRIS","20071129",1,32,18.6
"BUNDERANTIP","20071129",1,160,98
"BMEDABRIGO","20071129",0,28,6.77
"BFRONTANDES","20071129",1,380,260
"NIMPERMEABILIZ","20071129",1,10,5.85
"NALQUILER","20071129",1,347,1
"NORIX","20071129",1,200,114
"NTEKMAGN","20071129",1,30,17
"NALIVPOLAINA","20071129",1,120,42
"NMAKPAMIR70","20071129",1,550,292
"BMEDABRIGO","20071129",0,28,6.77
"NALIVCUBMIT","20071129",1,100,39
"BCAMPAISLMINI","20071129",1,280,189
"NALIVERBOLPO","20071129",1,75,42
"NMAKPAMIR70","20071129",1,550,292
"BMAKULT","20071129",0,695,479
"BVITORRANGER","20071129",1,160,109
"NALIVCUBREREF","20071129",1,80,23
"NMAKBOLS500","20071130",0,695,396
"BMEDABRIGO","20070721",0,25,6.77
"NGUILLUMET","20070721",1,285,162
"NOUTPANTDESM","20070721",0,165,96.5
"NALIVBUZO","20070721",0,70,25
"NALIVPANTPOLAR","20070721",0,65,24
"NLIBOFORCE","20070721",0,140,77.88
"NMAKCAMISINTLADY","20070721",0,55,31.2
"NMAKEIGERLADY","20070721",0,115,65
"NALIVGUANT","20070721",0,25,12
"NMAKFRONTVEST","20070721",0,310,176
"NALIVPANTPOLAR","20070723",0,65,24
"NOUTGUANTW","20070723",0,75,42.5
"NMAKTOLOSA","20070723",0,610,350
"BMAKCAMISINTLADY","20070723",0,55,37.75
"NBUFF","20070723",1,55,40
"BMEDABRIGO","20070723",0,26,6.77
"NFRONTANDES","20070723",1,370,209
"BMED1piel","20070723",0,18,4.6
"BMEDABRIGO","20070723",0,25,6.77
"NNMAKPOL","20070723",0,70,39.2
"NMAKCAMISINT","20070723",0,55,31.2
"NMAKCHALLADYPOL","20070723",0,75,42.4
"NALIVPANTPOLAR","20070723",0,65,24
"NLIBOUCUMAR","20070723",0,220,118
"NMAKTERMPANT","20070723",0,55,31.2
"BMEDABRIGO","20070723",0,13,6.77
"NMAKKHUMBU","20070723",0,225,126
"NEXPEDLADY","20070723",0,435,248
"NMAKCAMISINT","20070723",0,55,31.2
"NMAKCHAL","20070723",0,90,52
"NNMAKPOL","20070723",0,70,39.2
"NBUFF","20070723",1,55,40
"NMAKTERMPANT","20070723",0,55,31.2
"NALIVBUZO","20070723",0,70,25
"BMEDABRIGO","20070723",0,26,6.77
"NMAKCAMISINT","20070723",0,55,31.2
"NLIBOCLIMB","20070723",0,110,55
"BMED1piel","20070723",0,18,4.6
"NMAKCAMISINT","20070723",0,55,31.2
"NNMAKPOL","20070723",0,70,39.2
"BMEDABRIGO","20070723",0,26,6.77
"NFRONTANDES","20070723",1,370,209
"NMAKCAMISINT","20070724",0,55,31.2
"BMED1piel","20070724",0,18,4.6
"NMAKTERMPANT","20070724",0,55,31.2
"NMAKCLASSIC","20070724",0,450,252
"NALIVMOCHANAT","20070724",1,160,89
"NMAKCAMISINT","20070724",0,50,31.2
"NOUTANDES","20070724",1,170,100
"BMEDABRIGO","20070724",0,25,6.77
"NALIVCUBRELIV","20070724",1,25,13.5
"BMAKCAMISINTLADY","20070725",0,55,37.75
"NIMPERMEABILIZ","20070725",1,10,5.85
"BMEDABRIGO","20070725",0,26,6.77
"NGUILLUMET","20070725",1,285,162
"BMAKCAMISINTLADY","20070725",0,55,37.75
"NMAKPANTINTLADY","20070725",0,55,31.2
"NMAKEIGER","20070725",0,115,62.4
"NIMPERMEABILIZ","20070725",1,10,5.85
"NMAKCHALLADYPOL","20070725",0,75,42.4
"NNMAKPOL","20070725",0,70,39.2
"NMAKTERMPANT","20070725",0,55,31.2
"NALIVPANTPOLAR","20070725",0,65,24
"NMAKTERMPANT","20070725",0,55,31.2
"NMAKCAMISINT","20070725",0,55,31.2
"NALIVCUBMIT","20070725",2,85,39
"NALIVERBOLPO","20070725",2,70,42
"BMAKGORRO","20070725",0,15,8.7
"NMAKCAMISINTLADY","20070725",0,55,31.2
"NEXPEDLADY","20070725",0,435,248
"NMAKEIGERLADY","20070725",0,115,65
"BMEDABRIGO","20070725",0,26,6.77
"BMED1piel","20070725",0,1,4.6
"NALIVPOLAINA","20070725",1,85,42
"NMAKTRANGO","20070725",0,90,49
"NALIVCHAL","20070726",0,70,24
"BMEDABRIGO","20070726",0,25,6.77
"NALIVERBOLPO","20070727",1,75,42
"NMSRMARMGUIDE","20070727",1,345,195
"NORIX","20070727",1,180,105
"BMEDZOQ","20070727",0,10,3
"NALIVCUBMIT","20070727",1,85,39
"NALIVPOLAINA","20070727",1,85,42
"NMAKCAMISINT","20070727",0,55,31.2
"BMED1piel","20070727",0,18,4.6
"BMAKCAMISINTLADY","20070727",0,55,37.75
"NMAKPANTINTLADY","20070727",0,55,31.2
"NORIX","20070727",1,180,105
"NBUFF","20070727",1,55,40
"NNALGENEBOTHID","20070727",1,40,30
"NALIVPORTGRAM","20070727",1,35,14.5
"BANTEOJOS","20070727",1,40,25
"NLIBOCLIMB","20070728",0,114,55
"NMAKTRANGO","20070728",0,85,49
"BMAKCAMISINTLADY","20070728",0,55,37.75
"NLIBOCHAL","20070728",0,329,191
"BMED1piel","20070728",0,18,4.6
"BALIBOT","20070728",1,35,17
"BMEDABRIGO","20070728",0,26,6.77
"NMAKTERMPANT","20070728",0,55,31.2
"BMAKCAMISINTLADY","20070728",0,55,37.75
"NMAKPANTINTLADY","20070728",0,55,31.2
"NMAKCAMISINT","20070728",0,55,31.2
"NBUFF","20070728",2,60,40
"NLIBOKOALA","20070728",0,182,98
"BMEDZOQ","20070728",0,10,3
"BANTEOJOS","20070728",2,45,25
"NLIBOCHAL","20070728",0,329,191
"BMED1piel","20070728",0,18,4.6
"NMAKKHUMBU","20070728",0,225,126
"NBUFF","20070728",1,60,40
"NBUFF","20070728",1,60,40
"NALIVCUBREREF","20070728",1,65,23
"NALIVPORTGRAM","20070728",1,35,14.5
"BALIBOT","20070730",1,35,17
"NALIVCUBMIT","20070730",1,85,39
"NMSRBOT1000","20070730",1,85,60
"NMSRWHISPERINTER","20070730",1,480,330
"BALIBOT","20070730",1,35,17
"BMEDABRIGO","20070730",0,26,6.77
"NOUTGUANTW","20070730",0,75,42.5
"NALIVGUANT","20070730",0,25,12
"BMED1piel","20070730",0,18,4.6
"BMAKGORRO","20070730",0,13,8.7
"NALIVBUZO","20070731",0,70,25
"BORIX","20070731",1,185,127.7
"NTEKMAGN","20070731",1,30,17
"BMEDZOQ","20070731",0,9,3
"BFRONTANDES","20070731",1,370,253
"NLIBOFORCE","20070731",0,140,77.88
"BMAKCAMISINTLADY","20070731",0,55,37.75
"NMAKPANTINTLADY","20070731",0,55,31.2
"NALIVPANTPOLLADY","20070731",0,65,24
"BFADERSHMS","20070731",1,60,40
"NORIX","20070731",1,180,105
"BMEDZOQ","20070731",0,10,3
"BFADERSPETIT","20070731",1,50,35
"NMAKKHUMBU","20070731",0,225,126
"NALIVPANTPOLAR","20070801",0,65,24
"NMAKPANTDESLADY","20070801",0,130,71
"BMEDABRIGO","20070802",0,26,6.77
"NMAKTERMPANT","20070802",0,55,31.2
"NNMAKPOL","20070802",0,70,39.2
"BMED1piel","20070802",0,14,4.6
"NALIVPOLAINA","20070802",1,100,42
"NMAKCAMISINT","20070802",0,55,31.2
"BMEDABRIGO","20070802",0,26,6.77
"NMAKTERMPANT","20070802",0,55,31.2
"BMED1piel","20070802",0,18,4.6
"NALIVCUELLO","20070802",0,10,5
"BMEDABRIGO","20070802",0,25,6.77
"NLIBOCLIMB","20070802",0,114,55
"NMAKWINDCAMP","20070802",0,340,190
"NMAKGORRAWIN","20070803",0,50,30
"BMEDABRIGO","20070803",0,26,6.77
"NLIBOCHAL","20070803",0,329,191
"NCEBESPOT4","20070803",0,360,210
"BUNDERANTEO","20070803",1,160,94
"NMAKCAMISINT","20070803",0,55,31.2
"NMAKTERMPANT","20070803",0,55,31.2
"NMAKGUANTPOL","20071227",0,35,19.2
"BMEDZOQ","20071227",0,10,3
"NNMAKPOL","20071227",0,77,43.2
"BMED1piel","20070803",0,18,4.6
"BMEDABRIGO","20070803",0,26,6.77
"NMAKTERMPANT","20070803",0,55,31.2
"NMAKCAMISINT","20070803",0,55,31.2
"BMAKCAMISINTLADY","20070803",0,55,37.75
"NMAKPANTINTLADY","20070803",0,55,31.2
"NMAKGORRAWIN","20070803",0,55,30
"NLIBOUCUMAR","20070804",0,220,118
"NNMAKPOL","20070804",0,70,39.2
"NMAKCHALWIND","20070804",0,155,88
"BMED1piel","20070804",0,18,4.6
"NALIVBUZO","20070804",0,70,25
"BCULIPATIN","20070804",2,12,6
"NLIBOCHAL","20070804",0,300,191
"NALIVPANTPOLLADY","20070804",0,65,24
"BMEDABRIGO","20070806",0,26,6.77
"NMAKTERMPANT","20070806",0,55,31.2
"NNMAKPOL","20070806",0,55,39.2
"NLIBOFORCE","20070806",0,140,77.88
"NMAKCLASSIC","20070806",0,450,252
"NPACKLITE","20070806",0,395,221
"NOUTGUANTW","20070806",0,75,42.5
"NMAKTERMPANT","20070806",0,55,31.2
"NALIVCHAL","20070806",0,70,24
"NMAKGORRAWIN","20070806",0,50,30
"NALIVCUELLO","20070806",0,1,5
"NMAKCAMISINT","20070806",0,55,31.2
"BCRUX","20070806",1,620,417
"NMAKNITROJK","20070807",0,670,396
"BMED1piel","20070807",0,18,4.6
"BMED1piel","20070807",0,18,4.6
"BANTEOJOS","20070807",1,50,25
"BORIX","20070807",1,185,127.7
"NTEKMAGN","20070807",1,30,17
"NNALGENEBOTHID","20070808",1,30,30
"NMAKPAMIR70","20070808",1,520,292
"NCEBEMORPHIC","20070808",1,250,123
"BMAKKHUMBU","20070808",0,225,153
"NTEKMAGN","20070808",1,30,17
"NNMAKPOL","20070808",0,70,39.2
"NMAKCAMISINT","20070808",0,55,31.2
"NMAKTERMPANT","20070808",0,55,31.2
"BMED1piel","20070808",0,18,4.6
"NMAKCAMISINT","20070808",0,55,31.2
"BMEDABRIGO","20070808",0,26,6.77
"NGUILLUMET","20070808",1,285,162
"BMED1piel","20070808",0,18,4.6
"NMAKKHUMBU","20070808",0,225,126
"NLIBOCLIMB","20070808",0,114,55
"NALIVCUELLO","20070808",0,15,5
"NLIBOCLIMB","20070809",0,114,55
"BMEDABRIGO","20070809",0,26,6.77
"NMAKPANTDESMH","20070809",0,140,76
"BMEDABRIGO","20070810",0,26,6.77
"NMAKTERMPANT","20070810",0,55,31.2
"NFRONTANDES","20070810",1,370,209
"NMAKCAMISINT","20070810",0,55,31.2
"BMED1piel","20070810",0,18,4.6
"NMAKTERMPANT","20070810",0,55,31.2
"BMEDABRIGO","20070810",0,26,6.77
"NMAKCAMISINTLADY","20070810",0,55,31.2
"NMAKCAMISINT","20070810",0,55,31.2
"NMAKEXPEDJKT","20070810",0,497,284
"BMED1piel","20070810",0,18,4.6
"BMAKCAMISINTLADY","20070810",0,55,37.75
"NUNDERANTEO","20070810",1,145,75
"NMAKKHUMBU","20070810",0,225,126
"NALIVCUELLO","20070810",0,1,5
"NLIBOCAMPENDUR","20070810",0,640,373
"BMED1piel","20070810",0,18,4.6
"NMAKCAMISINT","20070810",0,55,31.2
"NMAKPANTDESMH","20070810",0,140,76
"NNMAKPOL","20070810",0,70,39.2
"NNMAKPOL","20070810",0,70,39.2
"NMAKKHUMBU","20070810",0,225,126
"NLIBOCLIMB","20070810",0,114,55
"NMAKTOLOSA","20070810",0,610,350
"NMAKPANTDESMH","20070810",0,140,76
"BMED1piel","20070810",0,18,4.6
"NALIVBUZO","20070810",0,7,25
"BMEDABRIGO","20070810",0,26,6.77
"NIMPERMEABILIZ","20070810",1,10,5.85
"BMAKGORRO","20070810",0,15,8.7
"NALIVPORTGRAM","20070810",1,35,14.5
"NNALGACAN","20070810",1,135,94
"NALIVPANTPOLAR","20070810",0,65,24
"NMAKWINDCAMP","20070810",0,340,190
"NMAKGUANTPOL","20070811",0,25,14.4
"BMED1piel","20070811",0,18,4.6
"NCUBRE3 X","20070811",0,110,59
"BMEDABRIGO","20070811",0,26,6.77
"BCULIPATIN","20070811",2,12,6
"NOUTPAMIR50","20070811",1,310,182
"NEURBOLSCOMPR","20070811",1,25,11
"BMEDABRIGO","20070811",0,26,6.77
"BMED1piel","20070811",0,18,4.6
"BMEDABRIGO","20070811",0,26,6.77
"BMED1piel","20070811",0,18,4.6
"NMAKTERMPANT","20070811",0,55,31.2
"NMAKPANTINTLADY","20070811",0,55,31.2
"NBUFF","20070811",1,60,40
"NMAKCAMISINTLADY","20070811",0,55,31.2
"NMAKGUANTPOL","20070811",0,25,14.4
"BBASTON","20070811",2,200,146
"NALIVBUZO","20070811",0,70,25
"NLIBOCLIMB","20070811",0,114,55
"BMEDZOQ","20070811",0,10,3
"NORIX","20070811",1,180,105
"NTEKMAGN","20070811",1,30,17
"NORIX","20070811",1,180,105
"BMEDZOQ","20070811",0,10,3
"NMAKCAMISINT","20070813",0,55,31.2
"NALQUILER","20070813",1,70,1
"BMEDZOQ","20070813",0,18,3
"NORIX","20070813",2,180,105
"NMAKCAMISINT","20070813",0,55,31.2
"NMAKTERMPANT","20070813",0,55,31.2
"BANTEOJOS","20070813",2,40,25
"NLIBOCAMPENDUR","20070813",0,640,373
"BMEDABRIGO","20070813",0,26,6.77
"NMAKMIT","20070813",0,140,76
"NALIVPORTGRAM","20070813",1,35,14.5
"NMAKNEPAL","20070813",0,1170,668
"NALIVERBOLPO","20070813",1,75,42
"BMEDABRIGO","20070813",0,26,6.77
"NALIVCUELLO","20070813",0,15,5
"BCULIPATIN","20070813",1,12,6
"BMED1piel","20070813",0,18,4.6
"NALIVMOCH40","20070813",1,200,100
"NALIVERBOLPO","20070813",1,75,42
"NMAKARTIC","20070813",1,370,212
"BUNDERANTEO","20070813",1,160,94
"NMAKCAMISINT","20070813",0,55,31.2
"NNMAKPOL","20070813",0,70,39.2
"NALIVCUELLO","20070813",0,15,5
"BMAKGORRO","20070813",0,13,8.7
"NOUTGUANTPOL","20070813",0,39,23
"NALIVPOLAINA","20070813",1,85,42
"NORIX","20070814",1,180,105
"BMEDZOQ","20070814",0,10,3
"BMED1piel","20070815",0,18,4.6
"BMEDABRIGO","20070815",0,26,6.77
"NNALGACAN","20070815",1,135,94
"NMAKEIGER","20070815",0,115,62.4
"NLIBOCAMPENDUR","20070815",0,640,373
"NALIVERBOLPO","20070815",1,75,42
"BMEDABRIGO","20070815",0,26,6.77
"NMAKTERMPANT","20070815",0,55,31.2
"NALIVPOLAINA","20070815",1,85,42
"NMAKCAMISINT","20070815",0,55,31.2
"NCUBRE3 X","20070815",0,110,59
"BMED1piel","20070815",0,18,4.6
"NALQUILER","20070815",1,60,1
"NFRONTANDES","20070815",1,370,209
"NLIBOFORCE","20070815",0,140,77.88
"NLIBOKOALA","20070815",0,182,98
"BMED1piel","20070816",0,18,4.6
"NFRONTANDES","20070816",1,370,209
"BMEDABRIGO","20070816",0,26,6.77
"BCULIPATIN","20070816",1,12,6
"NORIX","20070816",1,180,105
"BMEDZOQ","20070816",0,10,3
"NOUTGUANTW","20070816",0,75,42.5
"NALIVCUBREREF","20071228",1,80,23
"NALQUILER","20071228",1,350,1
"NALIVCUELLO","20071228",0,15,5
"BMAKGORRO","20070816",0,13,8.7
"BFUGATEARNES","20070816",2,180,117.37
"NMAKKHUMBU","20070817",0,225,126
"NALIVBOLSILLO","20070817",1,25,11
"NNALGENEBOTHID","20070817",2,42,30
"BFRONTANDES","20070817",1,370,253
"NNALGENEBOTHID","20070817",1,35,30
"NOUTMOCHYAK60","20070817",1,425,250
"BMAKCAMISINTLADY","20070817",0,55,37.75
"NMAKGUANTPOL","20070820",0,25,14.4
"NALIVBOLSILLO","20070820",1,25,11
"BANTEOJOS","20070820",1,45,25
"NORIX","20070820",1,180,105
"BMEDZOQ","20070820",0,10,3
"NALIVBUZO","20070820",0,85,34
"NMAKTERMPANT","20070820",0,55,31.2
"NMAKCAMISINT","20070820",0,55,31.2
"NFRONTANDES","20070820",2,370,209
"BMEDABRIGO","20070820",0,26,6.77
"NMAKEXPEDJKT","20070820",0,500,284
"NALIVCUELLO","20070820",0,1,5
"NLIBOCAMPENDUR","20070821",0,640,373
"NALIVCUELLO","20070821",0,1,5
"NBUFF","20070821",1,60,40
"BBUFF","20070821",1,60,48
"BMEDABRIGO","20070822",0,26,6.77
"BBRMARM","20070822",1,75,36
"BDOITECART","20070822",1,15,10
"NMAKARTIC","20070822",1,370,212
"NMAKTERMPANT","20070822",0,55,31.2
"NALIVCUELLO","20070822",0,15,5
"NALIVERBOLPO","20070822",1,75,42
"BBROGASBOT","20070822",1,6,3.86
"BBRGL10","20070822",1,44,53.41
"NORIX","20070822",1,180,105
"BMEDZOQ","20070822",0,10,3
"NMAKCAMISINT","20070822",0,55,31.2
"NALIVBOLSILLO","20070822",1,25,11
"NMAKGORRAWIN","20070822",0,55,30
"NMAKANDES","20071227",1,2000,800
"BORIX","20071227",2,200,138
"NALIVPOLAINA","20070822",1,100,42
"NALIVCAMP","20070822",0,100,36
"BMAKGORRO","20070822",0,13,8.7
"NMAKCAMISINT","20070822",0,55,31.2
"NMAKKHUMBU","20070822",0,225,126
"NMSRBOT1000","20070823",1,70,60
"NCEBESPOT4","20070823",0,310,210
"NCEBEANTIP","20070823",1,150,107
"BTSLRAQ","20070823",1,560,488
"BMED1piel","20070823",0,20,4.6
"NMAKTERMPANT","20070823",0,55,31.2
"NLIBOKOALA","20070823",0,182,98
"NLIBOFORCE","20070823",0,140,77.88
"NALIVCUELLO","20070823",0,15,5
"NALIVCUELLO","20070823",0,15,5
"NOUTGUANTW","20070823",0,75,42.5
"NFRONTANDES","20070823",1,370,209
"BMEDABRIGO","20070823",0,26,6.77
"BMAKGORRO","20070823",0,13,8.7
"NLIBOFORCE","20070823",0,140,77.88
"NMAKCAMISINT","20070823",0,55,31.2
"NMAKMIT","20070823",0,140,76
"NALQUILER","20070823",1,105,1
"NALQUILER","20070823",1,765,1
"NALIVPOLAINA","20070823",1,100,42
"NALIVCUELLO","20070823",0,15,5
"NALIVCUBREREF","20070823",1,80,23
"BFADERSHMS","20070823",2,60,40
"BFADERSPETIT","20070823",6,48,34.35
"NMAKCAMISINT","20070823",0,55,31.2
"BMED1piel","20070824",0,20,4.6
"BMEDABRIGO","20070824",0,26,6.77
"NALIVERBOLPO","20070824",1,75,42
"NLIBOUCUMAR","20070824",0,220,118
"NLIBOKOALA","20070824",0,182,98
"NNORTHFACE","20070824",1,500,300
"BBUFF","20070824",1,1,48
"NMAKKHUMBU","20070824",0,225,126
"NALIVBOLSILLO","20070824",1,25,11
"NNALGENEBOTHID","20070824",1,42,30
"BANTEOJOS","20070824",1,45,25
"NOUTPAMIR50","20070824",1,310,182
"BMEDZOQ","20070824",0,10,3
"BMEDABRIGO","20070824",0,26,6.77
"BMED1piel","20070824",0,20,4.6
"NALIVCUBREREF","20070824",1,80,23
"NALIVCUELLO","20070824",0,15,5
"BMAKFRONTVEST","20070824",0,310,213
"BMEDABRIGO","20070824",0,26,6.77
"NALIVPANTPOLAR","20070824",0,65,24
"BMAKCAMISINTLADY","20070825",0,55,37.75
"BMED1piel","20070825",0,20,4.6
"BMEDABRIGO","20070825",0,26,6.77
"BMEDZOQ","20070825",0,10,3
"NORIX","20070825",1,180,105
"NMAKEIGERLADY","20070825",0,100,65
"NGUILLUMET","20070825",1,285,162
"NMAKFRONTVEST","20070825",0,310,176
"BFADERSHMS","20070825",2,60,40
"NALIVCUBMIT","20070825",1,100,39
"NUNDERANTEO","20070825",1,155,75
"NALIVERBOLPO","20070825",1,75,42
"NALIVPOLAINA","20070825",1,100,42
"BFIG8","20070825",1,65,45.34
"NALIVCUELLO","20070825",0,15,5
